Романс валькирий;2013;96;8;1;8;HDTVRip (720p);3.12 ГБ;Юсукэ Ямамото;Романтика, школа
Возлюбленные дьявола;2013;31;1;0;12;HDTVRip (720p);2.61 ГБ;Синобу Тагасира;Сёдзё
Возлюбленные Дьявола;2013;169;1;6;13;HDTVRip (720p);2.72 ГБ;Синобу Тагасира;Сёдзё
Возлюбленные дьявола;2013;5;1;1;5;HDTVRip (720p);1.02 ГБ;Синобу Тагасира;Сёдзё
Удар крови;2013;44;1;11;1;HDTVRip (1080p);528 МБ;Хидэе Ямамото;Приключения, фэнтези
Лог Горизонт;2013;277;11;19;11;HDTVRip (720p);3.68 ГБ;Синдзи Исихира;Комедия, фэнтези
Ван Пис;2013;117;2;1;2;HDTVRip (720p);1.02 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Глухомань (Деревенская глубинка);2013;29;1;4;6;HDTVRip (720p);1.6 ГБ;Синъя Кавамо;Комедия, повседневность
Вальврэйв Освободитель;2013;48;5;2;5;HDTVRip (720p);2.34 ГБ;Ко Мацуо;Приключения, фантастика, меха
Удар крови;2013;38;1;1;1;HDTVRip (1080p);542 МБ;Хидэе Ямамото;Приключения, фэнтези
Меж двух огней: Девушки и подруги детства;2013;66;13;0;65;BDRip (720p);9.53 ГБ;Канта Камэй;Комедия, романтика
Рядом с Чудовище-куном;2012;31;13;0;114;BDRip (720p);9.76 ГБ;Хиро Кабураки;Комедия, романтика, школа, сёдзё
Блассрейтер;2008;644;24;4;24;HDTVRip (720p);8.71 ГБ;Итиро Итано;Приключения, фантастика, драма
Девушка из красной книги;2013;42;12;0;76;BDRip (720p);7.59 ГБ;Тосия Синохара;Приключения, мистика
Интерстелла 5555: История секретной звездной системы;2003;8;1;0;1;BDRip (1080p);4.37 ГБ;Кадзухиса Такэноти;Музыкальный, фантастика, приключения
Убить или быть убитым (Убей или умри);2013;131;11;31;22;HDTVRip;2.65 ГБ;Хироюки Имайси;Приключения, комедия, этти
Убить или быть убитым (Убей или умри);2013;108;1;16;22;HDTVRip (720p);5.49 ГБ;Хироюки Имайси;Приключения, комедия, этти
Мисс Монохром;2013;130;11;4;11;HDTVRip (720p);726 МБ;Есиаки Ивасаки;Приключения
Фантастические дни;2003;324;1;1;1;DVDRip (AVC);1.74 ГБ;Мун-саэнг Ким;Фантастика, фэнтези, боевик
Героем я не стал, так что мне пришлось искать работу;2013;141;1;4;10;HDTVRip (720p);3.57 ГБ;Киндзи Есимото;Комедия, этти
Наруто Ураганные хроники;2013;1107;43;21;43;HDTVRip (720p);15 ГБ;Хаято Датэ;Приключения, сёнэн
За пределами (За гранью);2013;68;1;2;22;HDTVRip (720p);3.56 ГБ;Тайти Исидатэ;Приключения, мистика
За пределами (За гранью);2013;165;11;14;22;HDTVRip;2.58 ГБ;Тайти Исидатэ;Приключения, мистика
Трудность выбора (Проклятие мультивыбора превратило мою жизнь в ад);2013;138;1;9;10;HDTVRip (720p);3.3 ГБ;Такаюки Инагаки;Комедия, этти, пародия, школа
Бтум! (Взрыв!);2012;78;12;3;124;BDRip (720p);11.22 ГБ;Котоно Ватанабэ;Приключения, фантастика, романтика
Мы - бескрылые;2011;274;12;2;160;BDRip (720p);7.84 ГБ;Синдзи Усиро;Комедия, романтика, этти
Гуррен-Лаганн;2007;16;27;0;116;BDRip (720p);26.91 ГБ;Хироюки Имайси;Приключения, фантастика, меха, драма
Пингвиний Барабан;2011;296;24;2;178;BDRip (720p);15.6 ГБ;Кунихико Икухара;Приключения, комедия, повседневность, драма
11 глаз;2009;481;13;5;67;BDRip (720p);9.79 ГБ;Масами Симода;Приключения, мистика, этти, драма
Хроники Валькирии;2009;575;26;10;177;BDRip (720p);17.11 ГБ;Ясутака Ямамото;Приключения, романтика, комедия, драма
Трудности первой любви (Компания «Первая любовь», ООО Первая любовь);2009;29;1;1;83;BDRip (720p);7.76 ГБ;Есики Ямакава;Комедия, романтика, школа
Принц-пошляк и кошка-несмеяна;2013;12;12;0;64;BDRip (720p);6.76 ГБ;Ехэй Судзуки;Комедия
Психопаспорт;2012;5;22;1;281;BDRip (720p);19.43 ГБ;Наоеси Сиотани;Триллер, фантастика
Молодые Мазохисты!;2010;13;1;9;85;BDRip 1080p;34.33 ГБ;Цуеси Нагасава;Комедия, школа
Наруто Ураганные хроники;2013;1282;1;252;43;HDTVRip (720p);15.03 ГБ;Датэ Хаято;Приключения, сёнэн
Золотая мозаика;2012;5;1;1;35;WEBRip;1.71 ГБ;Мотоки Танака;Комедия, школа
Вторжение Гигантов (Атака Титанов);2013;175;1;2;1;HDTVRip (720p);418 МБ;Тэцуро Араки;Приключения, фэнтези, драма
Вторжение Гигантов (Атака Титанов);2013;33;1;8;1;HDRip (AVC);227 МБ;Тэцуро Араки;Приключения, фэнтези, драма
Космические братья;2012;89;81;2;81;HDTVRip (720p);26.42 ГБ;Аюму Ватанабэ;Комедия, драма, фантастика
Другая (Иная);2012;19;1;0;193;BDRip (720p);9.35 ГБ;Цутому Мидзусима;Ужасы, мистика, школа
Скажи: «Я люблю тебя»;2012;278;13;2;120;BDRip (720p);10.08 ГБ;Такуя Сато;Романтика, школа, сёдзё
Гиперпространственная крепость Макросс;1982;73;11;14;11;BDRip (720p);15.03 ГБ;Нобору Исигуро;Фантастика, романтика, меха
Сопротивление крови;2013;201;1;5;10;HDTVRip (720p);3.8 ГБ;Хидэе Ямамото;Приключения, фэнтези
Коппелион;2013;77;1;4;9;HDTVRip (720p);4.93 ГБ;Синго Судзуки;Приключения, фантастика
Удар крови;2013;50;10;1;10;HDTVRip (720p);3.64 ГБ;Хидэе Ямамото;Приключения, фэнтези
Несокрушимая механическая кукла;2013;141;9;4;9;HDTVRip (720p);3.79 ГБ;Киндзи Есимото;Приключения, фэнтези, романтика
Серебряный Лис;2013;20;8;1;17;WEBRip (1080p);4.36 ГБ;Мисава Син;Повседневность, фэнтези
Принцесса Мононоке;1997;14;1;3;5;BDRip;3.26 ГБ;Хаяо Миядзаки;Приключения, фэнтези, драма
Лазурный Гримуар: Иные Воспоминания;2013;102;8;3;8;HDTVRip (720p);2.17 ГБ;Хидэки Татибана;Приключения
Принцесса Мононоке;1997;859;1;8;1;BDRip (720p);7.66 ГБ;Хаяо Миядзаки;Приключения, фэнтези, драма
Принцесса Мононоке;1997;53;1;1;1;BDRip (1080p);11.66 ГБ;Хаяо Миядзаки;Приключения, фэнтези, драма
Охотник х Охотник;2011;214;1;1;107;HDTVRip (720p);38.49 ГБ;Хироси Кодзина;Приключения, фэнтези, сёнэн
Несокрушимая механическая кукла;2013;91;9;5;9;HDTVRip (720p);3.7 ГБ;Киндзи Есимото;Приключения, фэнтези, романтика
Баскетбол Куроко;2013;39;10;1;10;HDTVRip (720p);3.38 ГБ;Сюнсукэ Тада;Комедия, спорт, школа
Сопротивление крови;2013;139;9;6;9;HDTVRip (720p);3.37 ГБ;Хидэе Ямамото;Приключения, фэнтези
Лог Горизонт;2013;88;8;3;8;HDTVRip (720p);2.68 ГБ;Синдзи Исихира;Комедия, фэнтези
Раз героем мне не стать самое время работу искать!;2013;139;10;9;10;HDTVRip (720p);3.25 ГБ;Киндзи Есимото;Комедия, этти
Трудность выбора;2013;65;8;5;8;HDTVRip (720p);2.9 ГБ;Такаюки Инагаки;Комедия, этти, пародия, школа
Сумасшедшая Столица;2013;28;8;16;8;HDTVRip (720p);3.43 ГБ;Риэ Мацумото;Комедия, приключения
Люпен III: История Мине Фуджико;2012;4;1;1;13;HDTVRip (720p);5.29 ГБ;Сае Ямамото;Приключения, комедия, драма, эротика
За пределами (За Гранью);2013;76;1;0;10;HDTVRip (720p);2.98 ГБ;Тайти Исидатэ;Приключения, мистика
Люпен III Принцесса морского бриза;2013;24;1;1;4;HDTVRip;871 МБ;Канасаки Такаоми;Приключения, мистика
Заморозка;2013;52;10;0;10;HDTVRip (720p);3.92 ГБ;Такаси Ватанабэ;Приключения
Токийские вороны;2013;119;9;5;9;HDTVRip (720p);3.48 ГБ;Такаоми Канасаки;Приключения, мистика
Вишневый Квартет;2013;57;9;2;9;HDTVRip (720p);2.61 ГБ;Ресукэ Сава;Приключения, мистика
Путь аса;2013;75;8;5;8;HDTVRip (720p);3.03 ГБ;Мицуюки Масухара;Спорт
Токийские вороны;2013;128;9;4;9;HDTVRip (720p);3.1 ГБ;Такаоми Канасаки;Приключения, мистика
Мама-четвероклассница;1992;11;3;2;3;DVDRip;979 МБ;Сюдзи Иути;Комедия, школа
Амагами СС (Нежный Укус);2012;14;13;4;13;HDTVRip;3.54 ГБ;Есимаса Хирайкэ;Комедия, романтика, школа
Хеллсинг OVA;2006;919;10;17;13;BDRip (720p);21.26 ГБ;Томокадзу Токоро;Приключения, мистика, драма
Наруто Ураганные хроники;2013;196;1;0;1;HDTVRip (1080p);561 МБ;Хаято Датэ;Приключения, сёнэн
Наруто Ураганные хроники;2013;90;1;1;1;HDTVRip (720p);315 МБ;Датэ Хаято;Приключения, сёнэн
Лазурный гримуар;2013;143;6;8;6;HDTVRip (720p);1.88 ГБ;Хидэки Татибана;Приключения
Адский патруль Энмы! Дадим Жару!;2011;37;12;0;12;BDRip (720p);4.08 ГБ;Ёнэтани Ёситомо;Приключения, комедия, этти, мистика
Коппелион;2013;159;9;7;18;HDTVRip (720p);5.02 ГБ;Синго Судзуки;Приключения, фантастика
Золотая Пора;2013;124;8;4;8;HDTVRip (720p);2.4 ГБ;Тиаки Кон;Комедия, романтика
Сестры Галилео (Наследие Галилея);2013;21;7;2;7;HDTVRip (720p);2.39 ГБ;Ясуоми Умэцу;Приключения
Сестры Галилео (Наследие Галилея);2013;20;7;3;7;HDTVRip (720p);2.3 ГБ;Ясуоми Умэцу;Приключения
Необъятные Небеса;2011;9;9;0;9;HDTVRip;3.08 ГБ;Кикути Ясухито;Приключения, комедия, фантастика, меха
Серебряный Лис;2013;65;5;4;5;HDTVRip (720p);1.5 ГБ;Мисава Син;Повседневность, фэнтези
Призрак в доспехах: Синдром одиночки. Сообщество крепкого государства;2006;27;1;0;1;HDRip (AVC);1.91 ГБ;Кэндзи Камияма;Комедия, фантастика, триллер
Призрак в доспехах 2.0;2008;43;1;0;1;HDRip (AVC);1.28 ГБ;Мамору Осии;Боевик, триллер
Ёрмунганд;2012;7;1;2;8;BDRip (720p);7.26 ГБ;Кэйтаро Мотонага;Приключения
Золотая Мозаика;2012;2;1;1;6;WEBRip (720p);2.07 ГБ;Мотоки Танака;Комедия, школа
За пределами (За гранью);2013;37;1;3;8;HDTVRip (720p);2.63 ГБ;Тайти Исидатэ;Приключения, мистика
Самураи Фламенко;2013;38;8;4;16;HDTVRip (720p);2.43 ГБ;Такахиро Омори;Комедия, приключения
Самураи Фламенко;2013;21;8;4;16;HDTVRip;1.8 ГБ;Такахиро Омори;Комедия, приключения
Цикл Историй (белая глава);2013;37;5;5;5;HDTVRip (720p);1.64 ГБ;Акиюки Симбо;Мистика
Хаятэ, боевой дворецкий;2009;28;25;3;25;BDRip (720p);14.95 ГБ;Есиаки Ивасаки;Комедия, романтика, повседневность, пародия
Наруто Ураганные хроники;2007;12;1;0;101;HDTVRip (720p);31.53 ГБ;Датэ Хаято;Приключения, сёнэн
Спецотряд;2004;50;12;9;12;DVDRip;4.32 ГБ;Хироки Хаяси;Приключения, комедия, фантастика, этти
Лето OVA (_Лето);2006;16;2;2;2;DVDRip;414 МБ;Такахиро Окао;Романтика, школа
Рояль в лесу;2007;48;1;1;9;Blu-Ray Remux (1080p);12.9 ГБ;Масаюки Кодзима;Драма, музыкальный
Золотая Пора;2013;66;7;2;7;HDTVRip (720p);2.27 ГБ;Тиаки Кон;Комедия, романтика
Лог Горизонт;2013;228;8;10;8;HDTVRip (720p);2.97 ГБ;Синдзи Исихира;Комедия, фэнтези
Удар крови;2013;202;8;3;8;HDTVRip (720p);2.64 ГБ;Хидэе Ямамото;Приключения, фэнтези
Чистая романтика;2012;17;1;0;1;DVDRip;211 МБ;Тиаки Кон;Сёнэн-ай
Когда успокоится море;2013;42;6;2;6;HDTVRip (720p);1.67 ГБ;Тосия Синохара;Романтика
Маленькие проказники;2012;15;6;1;6;HDTVRip (720p);1.89 ГБ;Есики Ямакава;Комедия, драма, романтика
Наруто Ураганные хроники;2007;91;1;16;327;HDTVRip;85.29 ГБ;Датэ Хаято;Приключения, сёнэн
Призрак в доспехах 2: Невинность;2004;29;1;1;1;HDRip (AVC);1.52 ГБ;Мамору Осии;Боевик, приключения, фантастика
Теккен: Кровная месть;2011;77;1;2;1;BDRip (1080p);11.63 ГБ;Йоичи Мори;Боевые искусства, фантастика
Чудачество любви не помеха!;2012;47;21;33;162;BDRip (720p);12.37 ГБ;Тацуя Исихара;Комедия, романтика, драма, школа
Призрак в доспехах;1995;53;1;1;1;НDRip (AVC);2.1 ГБ;Мамору Осии;Приключения, фантастика
Когда успокоится море;2013;31;8;0;8;HDTVRip (720p);2.32 ГБ;Тосия Синохара;Романтика
Гаргантия на зелёной планете;2013;75;14;14;124;BDRip (720p);14.85 ГБ;Кадзуя Мурата;Приключения, фантастика, меха
Принцесса Мононоке;1997;43;1;0;1;HDTVRip (AVC);2.40 ГБ;Хаяо Миядзаки;Приключения, фэнтези, драма
Длинноногий папочка;1990;46;40;3;40;DVDRip;16.58 ГБ;Кадзуёси Ёкота;Комедия, романтика, повседневность
Супер Братья Сейсуин;2013;20;9;0;9;HDTVRip (720p);505 МБ;Таката Масахиро;Комедия, повседневность
Поиск! Клубная деятельность;2013;5;1;0;1;HDTVRip (720p);99 МБ;Исидатэ Котаро;Повседневность
Корона Грешника (Корона греха);2011;68;22;2;22;BDRip (1080p);24.60 ГБ;Тэцуро Араки;Приключения, фантастика, меха, драма
Лазурный Гримуар: Иные Воспоминания;2013;35;4;1;4;HDTVRip (720p);1.28 ГБ;Хидэки Татибана;Приключения
Самураи Фламенко;2013;20;6;1;6;HDTVRip (720p);1.77 ГБ;Такахиро Омори;Комедия, приключения
Трудность выбора;2013;6;1;0;2;HDTVRip (720p);771 МБ;Такаюки Инагаки;Комедия, этти, пародия, школа
Заморозка;2013;12;6;0;6;HDTVRip (720p);3.13 ГБ;Такаси Ватанабэ;Приключения
Трепещущие воспоминания;2006;125;26;5;27;DVDRip (AVC);6.28 ГБ;Нобухиро Такамото;Комедия, романтика, школа
Рыцарь на футбольном поле;2012;48;37;0;74;HDTVRip;11.56 ГБ;Хирофуми Огура;Спорт, повседневность, драма, школа
Возвращение кота (Кошачья благодарность);2002;44;1;1;1;HDTVRip (AVC);1.68 ГБ;Хироюки Морита;Комедия, приключения
Шёпот сердца;1995;21;1;1;4;HDRip;2.57 ГБ;Ёсифуми Кондо;Романтика, повседневность
Эй, цыпочка!;2011;39;13;1;13;BDRip (720p);7.57 ГБ;Кэйитиро Кавагути;Комедия, романтика, школа, этти
Буря потерь: Истребление цивилизации;2012;82;24;1;24;HDTVRip;7.28 ГБ;Масахиро Андо;Приключения, мистика, драма
Сумеречная Дева и Амнезия;2012;51;1;1;13;BDRip (720p);8.49 ГБ;Син Онума;Мистика, романтика
Мёртвый демон (Усопшие);2010;15;3;1;3;BDRip (720p);1.29 ГБ;Тэцуро Амино;Мистика, ужасы, драма
Служащий x Служба;2013;56;13;1;13;HDTVRip (720p);4.45 ГБ;Ямамото Ясутака;Комедия
Белый Альбом;2013;6;5;9;5;HDTVRip (720p);1.52 ГБ;Масаоми Андо;Романтика
Ариэтти из страны лилипутов;2010;28;1;2;38;DVD;5.98 ГБ;Ёнэбаяси Хиромаса;Приключения, сказка
Шёпот сердца;1995;1907;1;11;1;HDRip (AVC);3.31 ГБ;Ёсифуми Кондо;Романтика, повседневность
Наруто Ураганные хроники;2013;507;13;12;13;HDTVRip (720p);3.63 ГБ;Хаято Датэ;Приключения, сёнэн
Маги: Королевство Магии;2013;75;6;3;6;HDTVRip (720p);2.14 ГБ;Кодзи Масунари;Приключения, комедия, фэнтези
Коппелион;2013;9;1;2;4;HDTVRip (720p);2.3 ГБ;Синго Судзуки;Приключения, фантастика
Ван Пис;2013;165;20;13;20;HDTVRip (720p);10.16 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Карнавал;2013;61;13;1;13;HDTVRip (720p);4.99 ГБ;Эйдзи Суганума;Приключения, фэнтези
Старшая Школа: Демоны против Падших New;2013;62;12;3;12;HDTVRip;2.94 ГБ;Тэцуя Янагисава;Приключения, комедия, этти
Вишневый Квартет: океан звёзд OVA-1;2010;29;3;1;3;HDDVDRip (720p);2.36 ГБ;Ресукэ Сава;Приключения, комедия, мистика
Сестры Галилео (Наследие Галилея);2013;9;5;0;5;HDTVRip (720p);1.7 ГБ;Ясуоми Умэцу;Приключения
Второй размер, интим предлагать! (Извращенка со Вторым размером);2010;12;12;1;14;BDRip (720p);6.19 ГБ;Юсукэ Ямамото;Комедия, романтика, этти, школа
Я люблю тебя, Судзуки!!;2009;48;2;0;2;DVDRip (AVC);265 МБ;Го Икэямада;Комедия, романтика, школа
Приключения чудесного домика, или Летающий дом (Комната времени: Приключения Летающего Дома / Летающий дом);1983;65;1;4;52;DVDRip;7.03 ГБ;Масакадзу Хигути;Образовательный, история, фантастика
Азбука цветов;2013;47;1;2;1;BDRip (720p);936 МБ;Масахиро Андо;Повседневность
Мобильный воин Зета ГАНДАМ;1985;23;50;1;104;BDRip;15.87 ГБ;Есиюки Томино;Приключения, фантастика, меха, драма
Коппелион;2013;114;1;2;6;HDTVRip (720p);3.44 ГБ;Синго Судзуки;Приключения, фантастика
Сакура - собирательница карт (фильм второй);2000;5;1;1;8;BDRip (1080p);25.65 ГБ;Морио Асака;Комедия, махо-сёдзё, романтика, сёдзё
Сакура - собирательница карт (фильм первый);1999;4;1;0;1;BDRip (1080p);22.43 ГБ;Морио Асака;Приключения, комедия, махо-сёдзё, сёдзё
Колекция Сенгоку (Параллельный мир самураев);2012;50;26;0;52;HDTVRip (720p);8.27 ГБ;Кэйдзи Гото;Комедия, повседневность
Необъятные Небеса (Бесконечные Небеса);2011;619;12;9;131;BDRip (720p);11.05 ГБ;Ясухито Кикути;Приключения, комедия, фантастика, меха
Судьба: Начало (Судьба: Ноль);2012;34;12;1;134;BDRip (720p);13.16 ГБ;Эй Аоки;Приключения, фэнтези
Судьба: Начало (Судьба: Ноль);2011;36;13;0;124;BDRip (720p);14.54 ГБ;Эй Аоки;Приключения, фэнтези, драма
Буря потерь: гибель человечества;2012;70;24;2;24;HDTVRip (720p);10.2 ГБ;Масахиро Андо;Приключения, мистика, драма
Танец на Вампирском берегу;2010;253;12;6;76;BDRip (1080р);23.27 ГБ;Симбо Акиюки;Приключения, романтика, этти
Эрго Прокси;2006;32;23;3;73;BDRip (720p);20.4 ГБ;Сюко Мурасэ;Приключения, фантастика, драма
Встреча снежным летом (Рандеву при летнем снеге);2012;28;11;3;104;BDRip (720p);7.19 ГБ;Ко Мацуо;Романтика, драма, повседневность
Второй размер, интим предлагать (Размер - второй, характер - извращенка);2010;54;12;0;81;BDRip (720p);7.86 ГБ;Юсукэ Ямамото;Комедия, романтика, этти, школа
Убить или быть убитым (Убей или умри);2013;99;1;1;5;HDTVRip (720p);1.78 ГБ;Хироюки Имайси;Приключения, комедия, этти
Вальврэйв Освободитель;2013;79;1;5;8;HDTVRip (720p);1.84 ГБ;Ко Мацуо;Приключения, фантастика, меха
Мэрдок Скрэмбл;2010;302;3;3;3;BDRip (720p);13.38 ГБ;Сусуму Кудо;Киберпанк, приключения, фантастика
Наруто Ураганные хроники;2013;849;1;13;72;HDTVRip (720p);12.89 ГБ;Датэ Хаято;Приключения, сёнэн
Коппелион;2013;91;1;5;10;HDTVRip (720p);2.89 ГБ;Синго Судзуки;Приключения, фантастика
Пчелиная почта;2009;51;1;4;50;HDTVRip (720p);15.62 ГБ;Акира Иванага;Приключения, комедия, драма, фэнтези
Мелодия морской стали;2013;13;2;1;16;HDTVRip (720p);821 МБ;Сэйдзи Киси;Приключения
За пределами (За гранью);2013;51;1;2;5;HDTVRip (720p);1.74 ГБ;Тайти Исидатэ;Приключения, мистика
Золотая Пора;2013;115;1;3;10;HDTVRip (720p);1.74 ГБ;Тиаки Кон;Комедия, романтика
Ван-Пис;2013;14;1;4;38;HDTVRip;5.32 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Ван-Пис;2013;253;1;6;19;HDTVRip (720p);7.45 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Хикару и го;2001;6;9;0;18;DVDRip;2.2 ГБ;Сусуму Нисидзава;Спорт, комедия, драма, мистика
Ван-Пис;2013;19;1;3;20;HDTVRip (720p);9.62 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Хикару и го;2001;9;75;4;265;BDRip (1080p);101.66 ГБ;Сусуму Нисидзава;Спорт, комедия, драма, мистика
Вельзепуз (Вельзевул);2011;33;60;6;180;DTVRip (720p);19.19 ГБ;Нобухиро Такамото;Приключения, комедия, сёнэн
Ниндзя бунтарки (Девушки Ниндзя);2013;118;12;2;82;BDRip (720p);10.2 ГБ;Такаси Ватанабэ;Приключения, комедия, этти
Баскетбол Куроко;2013;114;5;2;5;HDTVRip (720p);1.52 ГБ;Сюнсукэ Тада;Комедия, спорт, школа
Наруто Ураганные хроники;2013;722;1;3;36;HDTVRip (720p);14.44 ГБ;Датэ Хаято;Приключения, сёнэн
Цветочки после ягодок;1996;509;51;25;51;DVDRip (AVC);5.91 ГБ;Сигэясу Ямаути;Комедия, романтика, школа, сёдзё
Наруто Ураганные хроники;2013;161;1;4;16;HDTVRip (720p);5.57 ГБ;Датэ Хаято;Приключения, сёнэн
Страна чудес смертников;2011;162;12;6;13;BDRip;3.56 ГБ;Койти Хацуми;Приключения, фантастика, драма
Азбука цветов;2013;34;1;2;2;BDRip (720p);1.05 ГБ;Масахиро Андо;Повседневность
Наруто Ураганные хроники;2013;425;1;35;37;HDTVRip (720p);11.83 ГБ;Датэ Хаято;Приключения, сёнэн
Пёс, я и секретная служба;2012;22;13;1;75;BDRip (1080p);19.4 ГБ;Наокацу Цуда;Комедия, романтика, мистика
Сопротивление крови (Удар крови);2013;95;1;1;4;HDTVRip (720p);1.48 ГБ;Хидэе Ямамото;Приключения, фэнтези
Ван-Пис;2011;404;100;4;202;HDTVRip;28.67 ГБ;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
Мэйджор;2010;7;1;3;50;HDTVRip (1080p);8.4 ГБ;Фукусима Тосинори;Спорт, драма
Маленькие проказники;2013;15;4;1;4;HDTVRip (720p);1.28 ГБ;Есики Ямакава;Комедия, драма
Убить или быть убитым (Убей или умри);2013;84;3;8;6;HDTVRip (720p);1.52 ГБ;Хироюки Имайси;Приключения, комедия, этти
Эпоха Водолея;2003;34;1;0;1;DVDRip;746 МБ;Фумие Мурои;Приключения, мистика
Хроники клуба - Топаем домой;2013;21;10;0;10;HDTVRip (720p);3.38 ГБ;Сато Хикару;Школа, комедия
Аура: Последняя битва Клыка Света, Избранного демона драконов;2013;179;1;1;1;BDRip (720p);1.34 ГБ;Сэйдзи Киси;Приключения
Хаккенден: Легенда о Восьми Псах Востока;2013;195;13;2;13;HDTVRip (720p);3.8 ГБ;Осаму Ямасаки;Приключения, мистика, сёдзё
